,country_name,year,time,time_unit,deaths
0,Albania,2015,1,monthly,2490.0
1,Albania,2015,2,monthly,2139.0
2,Albania,2015,3,monthly,2051.0
3,Albania,2015,4,monthly,1906.0
4,Albania,2015,5,monthly,1709.0
5,Albania,2015,6,monthly,1561.0
6,Albania,2015,7,monthly,2008.0
7,Albania,2015,8,monthly,1687.0
8,Albania,2015,9,monthly,1569.0
9,Albania,2015,10,monthly,1560.0
10,Albania,2015,11,monthly,1728.0
11,Albania,2015,12,monthly,2010.0
12,Albania,2016,1,monthly,2065.0
13,Albania,2016,2,monthly,1905.0
14,Albania,2016,3,monthly,1910.0
15,Albania,2016,4,monthly,1652.0
16,Albania,2016,5,monthly,1716.0
17,Albania,2016,6,monthly,1678.0
18,Albania,2016,7,monthly,1643.0
19,Albania,2016,8,monthly,1578.0
20,Albania,2016,9,monthly,1459.0
21,Albania,2016,10,monthly,1743.0
22,Albania,2016,11,monthly,1855.0
23,Albania,2016,12,monthly,2184.0
24,Albania,2017,1,monthly,3129.0
25,Albania,2017,2,monthly,1845.0
26,Albania,2017,3,monthly,1817.0
27,Albania,2017,4,monthly,1665.0
28,Albania,2017,5,monthly,1660.0
29,Albania,2017,6,monthly,1605.0
30,Albania,2017,7,monthly,1788.0
31,Albania,2017,8,monthly,1833.0
32,Albania,2017,9,monthly,1482.0
33,Albania,2017,10,monthly,1679.0
34,Albania,2017,11,monthly,1716.0
35,Albania,2017,12,monthly,2013.0
36,Albania,2018,1,monthly,2158.0
37,Albania,2018,2,monthly,2013.0
38,Albania,2018,3,monthly,2136.0
39,Albania,2018,4,monthly,1828.0
40,Albania,2018,5,monthly,1664.0
41,Albania,2018,6,monthly,1576.0
42,Albania,2018,7,monthly,1641.0
43,Albania,2018,8,monthly,1709.0
44,Albania,2018,9,monthly,1621.0
45,Albania,2018,10,monthly,1668.0
46,Albania,2018,11,monthly,1730.0
47,Albania,2018,12,monthly,2060.0
48,Albania,2019,1,monthly,2397.0
49,Albania,2019,2,monthly,1974.0
50,Albania,2019,3,monthly,1990.0
51,Albania,2019,4,monthly,1687.0
52,Albania,2019,5,monthly,1744.0
53,Albania,2019,6,monthly,1718.0
54,Albania,2019,7,monthly,1744.0
55,Albania,2019,8,monthly,1734.0
56,Albania,2019,9,monthly,1528.0
57,Albania,2019,10,monthly,1673.0
58,Albania,2019,11,monthly,1792.0
59,Albania,2019,12,monthly,1956.0
60,Albania,2020,1,monthly,2187.0
61,Albania,2020,2,monthly,2018.0
62,Albania,2020,3,monthly,1993.0
63,Albania,2020,4,monthly,1804.0
64,Albania,2020,5,monthly,1803.0
65,Albania,2020,6,monthly,1779.0
66,Albania,2020,7,monthly,2166.0
67,Albania,2020,8,monthly,2476.0
68,Albania,2020,9,monthly,1982.0
69,Albania,2020,10,monthly,2403.0
70,Albania,2020,11,monthly,3854.0
71,Albania,2020,12,monthly,3140.0
72,Albania,2021,1,monthly,2977.0
73,Albania,2021,2,monthly,3738.0
74,Albania,2021,3,monthly,2942.0
75,Albania,2021,4,monthly,2406.0
76,Albania,2021,5,monthly,1862.0
77,Albania,2021,6,monthly,1509.0
