,country_name,year,time,time_unit,deaths
6080,France,2015,1,weekly,12804.0
6081,France,2015,2,weekly,13142.0
6082,France,2015,3,weekly,12803.0
6083,France,2015,4,weekly,12617.0
6084,France,2015,5,weekly,13281.0
6085,France,2015,6,weekly,13963.0
6086,France,2015,7,weekly,14666.0
6087,France,2015,8,weekly,14326.0
6088,France,2015,9,weekly,13592.0
6089,France,2015,10,weekly,12930.0
6090,France,2015,11,weekly,12264.0
6091,France,2015,12,weekly,11901.0
6092,France,2015,13,weekly,11684.0
6093,France,2015,14,weekly,11130.0
6094,France,2015,15,weekly,11239.0
6095,France,2015,16,weekly,10884.0
6096,France,2015,17,weekly,10790.0
6097,France,2015,18,weekly,10593.0
6098,France,2015,19,weekly,10480.0
6099,France,2015,20,weekly,10110.0
6100,France,2015,21,weekly,10026.0
6101,France,2015,22,weekly,10137.0
6102,France,2015,23,weekly,10416.0
6103,France,2015,24,weekly,10172.0
6104,France,2015,25,weekly,9862.0
6105,France,2015,26,weekly,10160.0
6106,France,2015,27,weekly,11190.0
6107,France,2015,28,weekly,10315.0
6108,France,2015,29,weekly,10181.0
6109,France,2015,30,weekly,9911.0
6110,France,2015,31,weekly,9698.0
6111,France,2015,32,weekly,10478.0
6112,France,2015,33,weekly,9935.0
6113,France,2015,34,weekly,9851.0
6114,France,2015,35,weekly,10094.0
6115,France,2015,36,weekly,9829.0
6116,France,2015,37,weekly,10157.0
6117,France,2015,38,weekly,10320.0
6118,France,2015,39,weekly,10408.0
6119,France,2015,40,weekly,10758.0
6120,France,2015,41,weekly,11100.0
6121,France,2015,42,weekly,10906.0
6122,France,2015,43,weekly,11293.0
6123,France,2015,44,weekly,11121.0
6124,France,2015,45,weekly,10762.0
6125,France,2015,46,weekly,10395.0
6126,France,2015,47,weekly,10489.0
6127,France,2015,48,weekly,10952.0
6128,France,2015,49,weekly,11125.0
6129,France,2015,50,weekly,11185.0
6130,France,2015,51,weekly,11207.0
6131,France,2015,52,weekly,11096.0
6132,France,2015,53,weekly,11770.0
6133,France,2016,1,weekly,11944.0
6134,France,2016,2,weekly,12032.0
6135,France,2016,3,weekly,12141.0
6136,France,2016,4,weekly,11824.0
6137,France,2016,5,weekly,11734.0
6138,France,2016,6,weekly,11827.0
6139,France,2016,7,weekly,11615.0
6140,France,2016,8,weekly,11522.0
6141,France,2016,9,weekly,12033.0
6142,France,2016,10,weekly,11920.0
6143,France,2016,11,weekly,12055.0
6144,France,2016,12,weekly,11867.0
6145,France,2016,13,weekly,11978.0
6146,France,2016,14,weekly,11614.0
6147,France,2016,15,weekly,11231.0
6148,France,2016,16,weekly,10694.0
6149,France,2016,17,weekly,10725.0
6150,France,2016,18,weekly,10831.0
6151,France,2016,19,weekly,10697.0
6152,France,2016,20,weekly,10542.0
6153,France,2016,21,weekly,10461.0
6154,France,2016,22,weekly,10043.0
6155,France,2016,23,weekly,10291.0
6156,France,2016,24,weekly,9904.0
6157,France,2016,25,weekly,10404.0
6158,France,2016,26,weekly,10073.0
6159,France,2016,27,weekly,10440.0
6160,France,2016,28,weekly,10156.0
6161,France,2016,29,weekly,10914.0
6162,France,2016,30,weekly,9838.0
6163,France,2016,31,weekly,9807.0
6164,France,2016,32,weekly,9820.0
6165,France,2016,33,weekly,10176.0
6166,France,2016,34,weekly,10497.0
6167,France,2016,35,weekly,10053.0
6168,France,2016,36,weekly,10195.0
6169,France,2016,37,weekly,10192.0
6170,France,2016,38,weekly,10259.0
6171,France,2016,39,weekly,10498.0
6172,France,2016,40,weekly,10669.0
6173,France,2016,41,weekly,11289.0
6174,France,2016,42,weekly,11384.0
6175,France,2016,43,weekly,11360.0
6176,France,2016,44,weekly,11158.0
6177,France,2016,45,weekly,11332.0
6178,France,2016,46,weekly,11689.0
6179,France,2016,47,weekly,11426.0
6180,France,2016,48,weekly,11402.0
6181,France,2016,49,weekly,11935.0
6182,France,2016,50,weekly,12273.0
6183,France,2016,51,weekly,13241.0
6184,France,2016,52,weekly,14411.0
6185,France,2017,1,weekly,15509.0
6186,France,2017,2,weekly,15696.0
6187,France,2017,3,weekly,14700.0
6188,France,2017,4,weekly,14783.0
6189,France,2017,5,weekly,14282.0
6190,France,2017,6,weekly,13405.0
6191,France,2017,7,weekly,12610.0
6192,France,2017,8,weekly,11980.0
6193,France,2017,9,weekly,11712.0
6194,France,2017,10,weekly,11482.0
6195,France,2017,11,weekly,11013.0
6196,France,2017,12,weekly,10722.0
