,country_name,year,time,time_unit,deaths
9977,Italy,2015,1,weekly,15178.0
9978,Italy,2015,2,weekly,15811.0
9979,Italy,2015,3,weekly,15480.0
9980,Italy,2015,4,weekly,14922.0
9981,Italy,2015,5,weekly,15228.0
9982,Italy,2015,6,weekly,15640.0
9983,Italy,2015,7,weekly,15510.0
9984,Italy,2015,8,weekly,15149.0
9985,Italy,2015,9,weekly,14544.0
9986,Italy,2015,10,weekly,14211.0
9987,Italy,2015,11,weekly,13846.0
9988,Italy,2015,12,weekly,13455.0
9989,Italy,2015,13,weekly,13126.0
9990,Italy,2015,14,weekly,12832.0
9991,Italy,2015,15,weekly,12811.0
9992,Italy,2015,16,weekly,12781.0
9993,Italy,2015,17,weekly,12046.0
9994,Italy,2015,18,weekly,11946.0
9995,Italy,2015,19,weekly,12177.0
9996,Italy,2015,20,weekly,11518.0
9997,Italy,2015,21,weekly,11058.0
9998,Italy,2015,22,weekly,10848.0
9999,Italy,2015,23,weekly,12060.0
10000,Italy,2015,24,weekly,11447.0
10001,Italy,2015,25,weekly,10591.0
10002,Italy,2015,26,weekly,10808.0
10003,Italy,2015,27,weekly,11819.0
10004,Italy,2015,28,weekly,13269.0
10005,Italy,2015,29,weekly,13303.0
10006,Italy,2015,30,weekly,14555.0
10007,Italy,2015,31,weekly,12009.0
10008,Italy,2015,32,weekly,12595.0
10009,Italy,2015,33,weekly,11716.0
10010,Italy,2015,34,weekly,10619.0
10011,Italy,2015,35,weekly,11116.0
10012,Italy,2015,36,weekly,11352.0
10013,Italy,2015,37,weekly,10629.0
10014,Italy,2015,38,weekly,11358.0
10015,Italy,2015,39,weekly,10687.0
10016,Italy,2015,40,weekly,11228.0
10017,Italy,2015,41,weekly,11624.0
10018,Italy,2015,42,weekly,11389.0
10019,Italy,2015,43,weekly,11834.0
10020,Italy,2015,44,weekly,11722.0
10021,Italy,2015,45,weekly,11850.0
10022,Italy,2015,46,weekly,11629.0
10023,Italy,2015,47,weekly,11689.0
10024,Italy,2015,48,weekly,11738.0
10025,Italy,2015,49,weekly,12501.0
10026,Italy,2015,50,weekly,12491.0
10027,Italy,2015,51,weekly,12463.0
10028,Italy,2015,52,weekly,12560.0
10029,Italy,2015,53,weekly,13218.0
10030,Italy,2016,1,weekly,13517.0
10031,Italy,2016,2,weekly,13055.0
10032,Italy,2016,3,weekly,13545.0
10033,Italy,2016,4,weekly,13388.0
10034,Italy,2016,5,weekly,12997.0
10035,Italy,2016,6,weekly,13168.0
10036,Italy,2016,7,weekly,12685.0
10037,Italy,2016,8,weekly,12709.0
10038,Italy,2016,9,weekly,12772.0
10039,Italy,2016,10,weekly,12845.0
10040,Italy,2016,11,weekly,12887.0
10041,Italy,2016,12,weekly,12525.0
10042,Italy,2016,13,weekly,12725.0
10043,Italy,2016,14,weekly,12291.0
10044,Italy,2016,15,weekly,11822.0
10045,Italy,2016,16,weekly,11594.0
10046,Italy,2016,17,weekly,11420.0
10047,Italy,2016,18,weekly,11595.0
10048,Italy,2016,19,weekly,11422.0
10049,Italy,2016,20,weekly,10950.0
10050,Italy,2016,21,weekly,11509.0
10051,Italy,2016,22,weekly,10842.0
10052,Italy,2016,23,weekly,11030.0
10053,Italy,2016,24,weekly,10766.0
10054,Italy,2016,25,weekly,11442.0
10055,Italy,2016,26,weekly,11247.0
10056,Italy,2016,27,weekly,11293.0
10057,Italy,2016,28,weekly,11324.0
10058,Italy,2016,29,weekly,11170.0
10059,Italy,2016,30,weekly,11042.0
10060,Italy,2016,31,weekly,10991.0
10061,Italy,2016,32,weekly,10606.0
10062,Italy,2016,33,weekly,11144.0
10063,Italy,2016,34,weekly,11193.0
10064,Italy,2016,35,weekly,10748.0
10065,Italy,2016,36,weekly,10479.0
10066,Italy,2016,37,weekly,10584.0
10067,Italy,2016,38,weekly,10321.0
10068,Italy,2016,39,weekly,11094.0
10069,Italy,2016,40,weekly,11158.0
10070,Italy,2016,41,weekly,12362.0
10071,Italy,2016,42,weekly,12060.0
10072,Italy,2016,43,weekly,11816.0
10073,Italy,2016,44,weekly,11744.0
