,country_name,year,time,time_unit,deaths
10392,Japan,2015,1,monthly,134256.0
10393,Japan,2015,2,monthly,110042.0
10394,Japan,2015,3,monthly,113860.0
10395,Japan,2015,4,monthly,104886.0
10396,Japan,2015,5,monthly,102731.0
10397,Japan,2015,6,monthly,94569.0
10398,Japan,2015,7,monthly,99448.0
10399,Japan,2015,8,monthly,101081.0
10400,Japan,2015,9,monthly,98242.0
10401,Japan,2015,10,monthly,107928.0
10402,Japan,2015,11,monthly,106616.0
10403,Japan,2015,12,monthly,116851.0
10404,Japan,2016,1,monthly,124668.0
10405,Japan,2016,2,monthly,114527.0
10406,Japan,2016,3,monthly,116072.0
10407,Japan,2016,4,monthly,105264.0
10408,Japan,2016,5,monthly,103261.0
10409,Japan,2016,6,monthly,95443.0
10410,Japan,2016,7,monthly,99203.0
10411,Japan,2016,8,monthly,103353.0
10412,Japan,2016,9,monthly,100240.0
10413,Japan,2016,10,monthly,109608.0
10414,Japan,2016,11,monthly,113856.0
10415,Japan,2016,12,monthly,122663.0
10416,Japan,2017,1,monthly,134174.0
10417,Japan,2017,2,monthly,116534.0
10418,Japan,2017,3,monthly,120019.0
10419,Japan,2017,4,monthly,108422.0
10420,Japan,2017,5,monthly,106278.0
10421,Japan,2017,6,monthly,97844.0
10422,Japan,2017,7,monthly,102387.0
10423,Japan,2017,8,monthly,103617.0
10424,Japan,2017,9,monthly,100893.0
10425,Japan,2017,10,monthly,110422.0
10426,Japan,2017,11,monthly,115170.0
10427,Japan,2017,12,monthly,124807.0
10428,Japan,2018,1,monthly,137773.0
10429,Japan,2018,2,monthly,122855.0
10430,Japan,2018,3,monthly,120575.0
10431,Japan,2018,4,monthly,108977.0
10432,Japan,2018,5,monthly,106196.0
10433,Japan,2018,6,monthly,98406.0
10434,Japan,2018,7,monthly,106782.0
10435,Japan,2018,8,monthly,105948.0
10436,Japan,2018,9,monthly,104679.0
10437,Japan,2018,10,monthly,112320.0
10438,Japan,2018,11,monthly,114473.0
10439,Japan,2018,12,monthly,123486.0
10440,Japan,2019,1,monthly,140223.0
10441,Japan,2019,2,monthly,117312.0
10442,Japan,2019,3,monthly,118335.0
10443,Japan,2019,4,monthly,112790.0
10444,Japan,2019,5,monthly,110055.0
10445,Japan,2019,6,monthly,102354.0
10446,Japan,2019,7,monthly,106594.0
10447,Japan,2019,8,monthly,111436.0
10448,Japan,2019,9,monthly,107694.0
10449,Japan,2019,10,monthly,114284.0
10450,Japan,2019,11,monthly,119462.0
10451,Japan,2019,12,monthly,127236.0
10452,Japan,2020,1,monthly,132622.0
10453,Japan,2020,2,monthly,117010.0
10454,Japan,2020,3,monthly,119161.0
10455,Japan,2020,4,monthly,113362.0
10456,Japan,2020,5,monthly,108380.0
10457,Japan,2020,6,monthly,100423.0
10458,Japan,2020,7,monthly,104849.0
10459,Japan,2020,8,monthly,111591.0
10460,Japan,2020,9,monthly,107468.0
10461,Japan,2020,10,monthly,118038.0
10462,Japan,2020,11,monthly,118455.0
10463,Japan,2020,12,monthly,133185.0
10464,Japan,2021,1,monthly,140844.0
10465,Japan,2021,2,monthly,118984.0
10466,Japan,2021,3,monthly,123579.0
10467,Japan,2021,4,monthly,118169.0
10468,Japan,2021,5,monthly,118634.0
10469,Japan,2021,6,monthly,108734.0
10470,Japan,2021,7,monthly,112222.0
