,country_name,year,time,time_unit,deaths
20956,United Kingdom,2015,1,weekly,12559.0
20957,United Kingdom,2015,2,weekly,18317.0
20958,United Kingdom,2015,3,weekly,16735.0
20959,United Kingdom,2015,4,weekly,15710.0
20960,United Kingdom,2015,5,weekly,14559.0
20961,United Kingdom,2015,6,weekly,13728.0
20962,United Kingdom,2015,7,weekly,13510.0
20963,United Kingdom,2015,8,weekly,13069.0
20964,United Kingdom,2015,9,weekly,13179.0
20965,United Kingdom,2015,10,weekly,13003.0
20966,United Kingdom,2015,11,weekly,12472.0
20967,United Kingdom,2015,12,weekly,12026.0
20968,United Kingdom,2015,13,weekly,11985.0
20969,United Kingdom,2015,14,weekly,10321.0
20970,United Kingdom,2015,15,weekly,11572.0
20971,United Kingdom,2015,16,weekly,13058.0
20972,United Kingdom,2015,17,weekly,12020.0
20973,United Kingdom,2015,18,weekly,11559.0
20974,United Kingdom,2015,19,weekly,10137.0
20975,United Kingdom,2015,20,weekly,11692.0
20976,United Kingdom,2015,21,weekly,11323.0
20977,United Kingdom,2015,22,weekly,9513.0
20978,United Kingdom,2015,23,weekly,11590.0
20979,United Kingdom,2015,24,weekly,10856.0
20980,United Kingdom,2015,25,weekly,10625.0
20981,United Kingdom,2015,26,weekly,10516.0
20982,United Kingdom,2015,27,weekly,10539.0
20983,United Kingdom,2015,28,weekly,10277.0
20984,United Kingdom,2015,29,weekly,10022.0
20985,United Kingdom,2015,30,weekly,10019.0
20986,United Kingdom,2015,31,weekly,9891.0
20987,United Kingdom,2015,32,weekly,10150.0
20988,United Kingdom,2015,33,weekly,10346.0
20989,United Kingdom,2015,34,weekly,10354.0
20990,United Kingdom,2015,35,weekly,10235.0
20991,United Kingdom,2015,36,weekly,9092.0
20992,United Kingdom,2015,37,weekly,10567.0
20993,United Kingdom,2015,38,weekly,10381.0
20994,United Kingdom,2015,39,weekly,10819.0
20995,United Kingdom,2015,40,weekly,10697.0
20996,United Kingdom,2015,41,weekly,11106.0
20997,United Kingdom,2015,42,weekly,10793.0
20998,United Kingdom,2015,43,weekly,10965.0
20999,United Kingdom,2015,44,weekly,10999.0
21000,United Kingdom,2015,45,weekly,11301.0
21001,United Kingdom,2015,46,weekly,11335.0
21002,United Kingdom,2015,47,weekly,11174.0
21003,United Kingdom,2015,48,weekly,11212.0
21004,United Kingdom,2015,49,weekly,11743.0
21005,United Kingdom,2015,50,weekly,11699.0
21006,United Kingdom,2015,51,weekly,12133.0
21007,United Kingdom,2015,52,weekly,9805.0
21008,United Kingdom,2015,53,weekly,8773.0
21009,United Kingdom,2016,1,weekly,14860.0
